age,workclass,fnlwgt,education,educational_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income
26,private,391349,bachelors,13,never_married,sales,not_in_family,white,female,0,0,45,united_states,<=50k
44,private,111275,hs_grad,9,divorced,machine_op_inspct,unmarried,black,female,0,0,56,united_states,<=50k
52,self_emp_not_inc,27539,some_college,10,married_civ_spouse,farming_fishing,husband,white,male,7688,0,72,united_states,>50k
51,private,311350,bachelors,13,married_civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,>50k
42,private,198422,some_college,10,divorced,adm_clerical,own_child,white,female,0,0,40,united_states,<=50k
20,private,200421,hs_grad,9,never_married,craft_repair,not_in_family,white,male,0,0,35,united_states,<=50k
25,private,241025,bachelors,13,never_married,other_service,own_child,white,male,0,0,18,united_states,<=50k
53,private,167065,11th,7,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,<=50k
62,private,197514,hs_grad,9,married_civ_spouse,sales,wife,white,female,0,0,16,united_states,<=50k
36,local_gov,224947,bachelors,13,never_married,prof_specialty,unmarried,white,male,0,0,40,united_states,<=50k
48,private,216093,bachelors,13,married_civ_spouse,handlers_cleaners,husband,white,male,0,0,40,united_states,<=50k
24,private,112854,some_college,10,never_married,tech_support,not_in_family,white,female,0,0,16,united_states,<=50k
56,local_gov,191754,masters,14,married_civ_spouse,prof_specialty,husband,white,male,0,0,50,united_states,>50k
62,?,190873,bachelors,13,married_civ_spouse,?,wife,white,female,0,0,40,united_states,<=50k
29,private,207473,7th_8th,4,married_civ_spouse,transport_moving,husband,white,male,0,0,40,mexico,<=50k
41,private,139126,some_college,10,married_civ_spouse,exec_managerial,husband,white,male,0,1902,40,united_states,>50k
19,private,139466,some_college,10,never_married,sales,own_child,white,female,0,0,25,united_states,<=50k
55,private,49737,some_college,10,married_civ_spouse,sales,husband,white,male,0,0,50,united_states,<=50k
41,private,160785,assoc_voc,11,married_civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,>50k
52,private,312477,hs_grad,9,widowed,transport_moving,not_in_family,white,male,0,0,40,united_states,<=50k
35,?,119006,hs_grad,9,widowed,?,own_child,white,female,0,0,38,united_states,<=50k
